2/6848, 8.33, 195, [([[18, 34], [62, 34], [62, 58], [18, 58]], '0.27', 0.950805981380919)]
3/6848, 12.5, 195, [([[18, 34], [62, 34], [62, 58], [18, 58]], '0.27', 0.7693811634385884)]
4/6848, 16.67, 195, [([[18, 34], [62, 34], [62, 58], [18, 58]], '0.27', 0.871814293262102)]
5/6848, 20.83, 195, [([[18, 34], [62, 34], [62, 58], [18, 58]], '0.27', 0.6140901252897585)]
6/6848, 25.0, 195, [([[18, 34], [62, 34], [62, 58], [18, 58]], '0.27', 0.8351859310647418)]
7/6848, 29.17, 195, [([[18, 34], [62, 34], [62, 58], [18, 58]], '0.27', 0.9999116659164429)]
8/6848, 33.33, 195, [([[18, 34], [62, 34], [62, 58], [18, 58]], '0.27', 0.9999006390571594)]
9/6848, 45.83, 195, [([[20, 34], [62, 34], [62, 58], [20, 58]], '0.27', 0.8728849654529769)]
10/6848, 50.0, 195, [([[20, 34], [62, 34], [62, 58], [20, 58]], '0.27', 0.9999455809593201)]
11/6848, 54.17, 195, [([[20, 34], [62, 34], [62, 58], [20, 58]], '0.27', 0.6230344250750351)]
12/6848, 58.33, 195, [([[20, 34], [62, 34], [62, 58], [20, 58]], '0.27', 0.9999574422836304)]
13/6848, 62.5, 195, [([[21, 35], [61, 35], [61, 55], [21, 55]], '0.27', 0.8349935855959574)]
14/6848, 66.67, 195, [([[21, 35], [61, 35], [61, 55], [21, 55]], '0.27', 0.8335731412205677)]
15/6848, 70.83, 195, [([[21, 35], [61, 35], [61, 55], [21, 55]], '0.27', 0.8139090882268691)]
16/6848, 75.0, 195, [([[21, 35], [61, 35], [61, 55], [21, 55]], '0.27', 0.6354019871930764)]
17/6848, 79.17, 195, [([[21, 35], [61, 35], [61, 55], [21, 55]], '0.27', 0.8734845976733437)]
18/6848, 83.33, 195, [([[21, 35], [63, 35], [63, 55], [21, 55]], '0.27', 0.9999181032180786)]
19/6848, 87.5, 195, [([[21, 35], [63, 35], [63, 55], [21, 55]], '0.27', 0.6691771791473821)]
20/6848, 91.67, 195, [([[20, 32], [64, 32], [64, 56], [20, 56]], '0.27', 0.8769063725748847)]
21/6848, 95.83, 195, [([[20, 32], [64, 32], [64, 56], [20, 56]], '0.27', 0.8710986193303522)]
22/6848, 108.75, 195, [([[20, 32], [64, 32], [64, 56], [20, 56]], '0.27', 0.9915744208046943)]
23/6848, 112.92, 195, [([[20, 32], [64, 32], [64, 56], [20, 56]], '0.27', 0.8809467732594491)]
24/6848, 117.08, 195, [([[20, 32], [64, 32], [64, 56], [20, 56]], '0.27', 0.9427135309970359)]
25/6848, 121.25, 195, [([[21, 33], [63, 33], [63, 53], [21, 53]], '0.27', 0.9977652919074492)]
26/6848, 125.42, 195, [([[21, 33], [63, 33], [63, 53], [21, 53]], '0.27', 0.9988557402353805)]
27/6848, 129.58, 195, [([[21, 33], [63, 33], [63, 53], [21, 53]], '0.27', 0.9995230572871016)]
28/6848, 133.75, 195, [([[21, 33], [63, 33], [63, 53], [21, 53]], '0.27', 0.999616358052913)]
29/6848, 137.92, 195, [([[21, 33], [63, 33], [63, 53], [21, 53]], '0.27', 0.869132488603244)]
30/6848, 142.08, 195, [([[21, 33], [63, 33], [63, 53], [21, 53]], '0.27', 0.5630071488990384)]
31/6848, 150.42, 195, [([[21, 33], [63, 33], [63, 53], [21, 53]], '0.27', 0.7517167952387702)]
32/6848, 154.58, 195, [([[21, 33], [63, 33], [63, 53], [21, 53]], '0.27', 0.999954104423523)]
