VID_PATH = ./data/IMG_5920.MOV
RSZ_SCLE = 0.8
HGT, WDT = 1080, 1920
LEN, FPS = 6848, 195

2.02%	0.71	7.46	0.9257
2.03%	0.72	7.46	0.9538
2.04%	0.73	7.46	0.98
2.06%	0.73	7.46	0.9783
2.07%	0.74	7.446	0.2885
2.09%	0.75	7.46	0.9668
2.1%	0.75	7.46	0.9856
2.12%	0.76	7.6	0.9475
2.13%	0.76	7.46	0.7194
2.15%	0.76	7.46	0.585
2.16%	0.77	7.46	0.4298
2.18%	0.77	7.46	0.6469
2.19%	0.78	7.46	0.7391
2.21%	0.78	7.46	0.9994
2.22%	0.79	7.46	0.999
2.23%	0.79	7.46	0.9646
2.25%	0.8	7.46	0.5849
2.26%	0.81	7.6	0.9771
2.28%	0.81	7.46	0.5459
2.29%	0.82	7.46	0.352
2.31%	0.82	7..6	0.2728
2.32%	0.83	7.26	0.3527
2.34%	0.83	3.26	0.922
2.35%	0.84	3.26	0.7735
2.37%	0.84	3.26	0.9986
2.38%	0.85	3.26	0.8307
2.39%	0.85	3.26	0.9908
2.41%	0.86	3.26	0.9937
2.42%	0.87	3.26	0.9902
2.44%	0.87	3.26	0.9869
2.45%	0.88	3.26	0.9453
2.47%	0.88	3.26	0.6994
2.48%	0.89	3.26	0.6909
2.5%	0.89	3.26	0.9996
2.51%	0.89	3.26	0.9596
2.53%	0.9	3.26	0.7667
2.54%	0.9	3.26	0.8091
2.56%	0.91	3.26	0.9998
2.57%	0.91	3.26	0.9999
2.58%	0.92	3.26	0.9996
2.6%	0.92	3.26	0.9999
2.61%	0.94	3.26	0.9998
2.63%	0.94	3.26	0.9999
2.64%	0.94	3.26	0.9192
2.66%	0.95	3.26	0.9997
2.67%	0.95	3.26	0.9997
2.69%	0.96	3.26	0.9997
2.7%	0.96	3.26	0.6806
2.72%	0.96	3.26	0.9652
2.73%	0.97	3.26	0.9987
2.75%	0.98	3.26	0.6787
2.76%	0.98	3.26	0.8171
2.77%	0.99	3.26	0.9746
2.79%	1.0	3.26	0.9979
2.8%	1.0	3.26	0.9984
2.82%	1.01	3.26	0.9982
2.83%	1.01	3.26	0.7051
2.85%	1.01	3.26	0.97
2.86%	1.02	3.26	0.7992
2.88%	1.02	3.26	0.7378
2.89%	1.03	3.26	0.7682
2.91%	1.03	3.26	0.7874
2.92%	1.04	3.26	0.9996
2.94%	1.04	3.26	0.9635
2.95%	1.05	3.26	0.9712
2.96%	1.06	3.26	0.8518
2.98%	1.06	3.26	0.9791
2.99%	1.07	3.26	0.9862
3.01%	1.07	3.26	0.9963
3.02%	1.08	3.83	0.4302
3.04%	1.08	3.07	0.9992
3.05%	1.09	3.07	0.9979
3.07%	1.09	3.07	0.9985
3.08%	1.09	3.07	0.9949
3.1%	1.1	3.07	0.9788
3.11%	1.11	3.07	0.9979
3.12%	1.12	3.07	0.8866
3.14%	1.12	3.07	0.9938
3.15%	1.13	3.07	0.9791
3.17%	1.14	3.07	0.3815
3.18%	1.14	3.07	0.9852
3.2%	1.14	3.07	0.9825
3.21%	1.15	3.07	0.9857
3.23%	1.15	3.07	0.9614
3.24%	1.16	3.07	0.9796
3.26%	1.16	3.07	0.9733
3.27%	1.16	3.07	0.9873
3.29%	1.17	3.07	0.9971
3.3%	1.18	3.07	0.9869
3.31%	1.18	3.07	0.9901
3.33%	1.19	3.07	0.8153
3.34%	1.2	3.07	0.9979
